title,artist,genre,mood,energy,tempo_bpm,popularity
Sunshine Pop,The Brights,pop,happy,0.85,124,0.90
Midnight Drive,Neon Roads,synthwave,energetic,0.75,118,0.55
Lofi Rain,Study Cat,lofi,chill,0.30,72,0.50
Heavy Riff,Iron Pulse,rock,intense,0.95,140,0.65
Acoustic Morning,Jane Willow,acoustic,calm,0.35,90,0.40
Dance All Night,DJ Vortex,edm,energetic,0.90,128,0.85
Blue Notes,Miles Ahead,jazz,mellow,0.45,100,0.30
Summer Anthem,Coast Kids,pop,happy,0.80,120,0.95
Rainy Day Blues,Sad Sax,blues,sad,0.40,85,0.25
Power Up,Arcade Heroes,electronic,energetic,0.88,130,0.70
Golden Hour,Vega Verse,hip-hop,nostalgic,0.65,95,0.82
Crown Season,Vega Verse,hip-hop,aggressive,0.85,102,0.88
Backroad Sunset,Dusty Wheels,country,nostalgic,0.55,98,0.58
Moonlight Redux,A. Keys Trio,classical,calm,0.25,60,0.35
Velvet Touch,Silk Avenue,r&b,romantic,0.50,92,0.62
Iron Fury,Bladewright,metal,aggressive,0.98,150,0.28
Island Time,Palm Groove,reggae,chill,0.55,76,0.44
Wandering Roads,Hazel Pine,folk,nostalgic,0.40,88,0.18
Soul Fire,Ruby Grand,soul,romantic,0.60,100,0.52
Cloudscape,Slow Halo,dreampop,dreamy,0.45,105,0.30
Confetti Skies,Pastel Parade,pop,happy,0.72,116,0.72
Chrome Sunset,Retrowave Unit,synthwave,dreamy,0.60,100,0.38
Study Fog,Tape Hiss Club,lofi,mellow,0.28,74,0.42
Concrete Anthem,The Gravel Kings,rock,intense,0.90,138,0.60
Static Rebellion,Fault Line,rock,energetic,0.85,132,0.48
Candle Hours,Wren Hollow,acoustic,calm,0.32,82,0.30
Pulse Reactor,Voltage Twins,edm,energetic,0.92,128,0.68
Smoke and Brass,The Blue Room Quartet,jazz,mellow,0.42,96,0.24
Late Set,Cornelius Rhodes,jazz,romantic,0.48,92,0.20
Delta Dust,Cotton Row,blues,sad,0.38,82,0.22
Whiskey Lament,Slow Train Sam,blues,mellow,0.44,88,0.28
Signal Bloom,Circuit Meadow,electronic,dreamy,0.55,110,0.34
Rooftop Session,Boro Nine,hip-hop,chill,0.55,88,0.45
Dust and Diesel,Copper Creek,country,sad,0.45,90,0.32
Nocturne in Grey,Elena Vasquez,classical,calm,0.22,58,0.26
Slow Confession,Mara Lune,r&b,romantic,0.48,90,0.55
Ironclad Wrath,Ashen Crown,metal,aggressive,0.97,152,0.30
Furnace Heart,Steelveil,metal,intense,0.95,146,0.20
Harbor Sway,Kingston Tide,reggae,chill,0.52,78,0.40
Paper Lanterns,Meadowlark,folk,calm,0.34,84,0.16
Velvet Sermon,Odessa Grey,soul,romantic,0.58,98,0.44
Halcyon Drift,Pale Ceiling,dreampop,dreamy,0.42,102,0.28
Underwater Bloom,Glass Tide,dreampop,chill,0.40,100,0.24
Mirrorball Fever,The Groove Cartel,disco,happy,0.85,120,0.70
Saturday Voltage,Lush Boulevard,disco,energetic,0.82,124,0.58
Velvet Hustle,Nightliner,disco,happy,0.80,118,0.36
